#{"t_start": 1768084635.449265, "env_id": "LunarLander-v3"}
r,l,t
252.579008,224,327.710073
229.671043,218,327.845422
248.175126,280,328.013799
269.834566,249,328.166663
-3.901063,146,328.255157
277.302527,217,328.384809
230.12981,224,328.523768
233.912506,311,329.743004
241.208495,241,329.889642
273.695946,268,330.050977
-24.711584,154,330.142744
232.71051,239,330.288477
238.518184,276,330.458416
-11.38795,117,330.528415
210.639,354,330.743734
244.10367,185,331.858837
247.909667,225,332.021976
258.443084,233,332.181837
231.223916,235,332.351983
203.354494,340,332.595655
37.269993,193,332.723028
197.738156,297,332.923224
-29.576518,169,333.028144
-7.790458,150,333.120596
231.423902,191,334.224113
190.605528,328,334.44019
234.791837,214,334.578125
-6.658716,125,334.662575
239.121162,534,335.010771
266.443342,352,335.225348
-2.790881,117,335.296977
247.569369,260,335.455184
253.957037,262,336.630985
24.793338,152,336.730126
141.441187,1000,337.365918
-24.208289,122,337.440429
239.25599,224,337.573778
233.32432,211,337.700862
261.787707,284,338.848794
141.814601,1000,339.506442
253.306529,187,339.623414
253.574671,230,339.770035
20.916122,155,339.870559
242.32658,271,340.047211
253.738661,221,341.202115
238.732911,294,341.459431
221.296532,319,341.680553
251.113999,226,341.831488
278.673047,243,342.000244
292.829689,322,342.2175
-27.327637,179,342.344576
230.522611,296,342.542004
271.907767,238,343.682139
235.095045,242,343.827477
5.272611,177,343.938887
-45.466622,145,344.028722
245.595427,216,344.160136
178.111476,394,344.402321
275.427701,242,344.55122
117.344541,1000,346.341109
268.742301,249,346.496943
260.030274,236,346.639755
29.624283,160,346.73662
240.74971,369,346.965545
232.671725,232,347.107481
229.442642,272,348.260282
-33.898612,173,348.397717
257.198403,300,348.5919
178.205231,476,348.912096
280.518147,207,349.042773
96.397023,1000,350.723039
101.822914,1000,351.371611
275.462394,244,351.532296
-6.58157,161,351.633119
252.511071,250,351.798736
216.087726,435,353.055576
227.324226,242,353.208277
235.652144,219,353.34068
220.523325,218,353.472809
250.852074,221,353.607002
18.781989,185,353.717717
11.141222,108,353.784961
246.152775,236,353.927371
228.95627,250,354.079667
271.665064,266,355.226434
260.16662,232,355.370772
249.949538,303,355.585774
279.881042,252,355.75169
216.736941,260,355.921036
198.561381,399,356.163511
256.740065,261,356.330886
268.048177,351,357.525514
260.140511,235,357.670535
253.643114,221,357.806103
231.541254,461,358.085751
211.961192,365,358.310609
219.379856,231,358.451221
33.396439,173,358.560564
254.864863,218,358.693105
199.722453,970,360.325674
258.745445,256,360.47994
249.440537,337,360.692841
258.870587,258,360.851231
249.062959,217,360.981098
-28.883328,164,362.067244
239.783098,220,362.199495
257.418648,542,362.529436
9.581206,191,362.643313
255.284094,207,362.785531
244.725434,234,362.940205
208.998066,828,364.436947
265.749432,239,364.584268
273.481414,245,364.737163
264.386842,248,364.899284
236.10086,297,365.086704
114.624324,1000,366.747265
282.450269,261,366.944243
259.589186,377,367.182969
234.125014,215,367.312709
-7.691162,108,367.378705
312.327928,409,367.630583
232.13827,362,367.852309
250.114771,239,368.969999
16.693587,170,369.071344
-38.478426,124,369.146083
237.03207,197,369.266132
277.516509,275,369.454471
-33.624464,147,369.546885
250.651611,256,369.70309
256.841388,291,369.8797
227.289708,219,370.013568
-44.235037,150,370.105191
284.761601,237,371.229415
229.189247,259,371.386966
238.963351,645,371.787884
-24.715686,176,371.894495
232.299582,213,372.027587
172.965085,350,372.241127
-10.703746,185,372.353206
220.518975,264,373.498214
224.145959,207,373.624677
205.19127,389,373.873168
260.941959,240,374.042449
281.299942,236,374.194685
262.312588,240,374.346859
253.752737,228,374.491634
211.764759,205,374.625
-7.536408,141,375.765721
309.176831,359,375.99785
113.424929,1000,376.628724
234.777916,229,376.766359
272.74319,243,376.921236
227.695054,465,378.218678
258.093278,264,378.378525
-5.06233,132,378.460835
6.741477,148,378.548334
218.530403,218,378.682495
263.104077,240,378.827024
271.273589,265,378.986953
-23.388303,136,379.068411
191.309773,570,380.431285
270.964482,256,380.587234
244.067641,237,380.724707
-35.823521,174,380.824326
238.330895,248,380.974457
-12.288792,183,381.085007
242.331394,198,381.201937
258.559347,257,381.350936
108.420603,1000,383.013276
262.197706,248,383.170174
163.608287,914,383.750304
250.148886,294,384.923998
259.235951,226,385.062725
259.871723,480,385.361524
118.639955,1000,385.992017
249.23563,239,387.145243
253.233404,432,387.410796
242.212869,579,387.767179
30.888359,219,387.901673
98.503966,1000,389.51739
279.997988,318,389.725761
136.761084,415,389.993598
213.731391,211,390.123229
