#{"t_start": 1768084357.9020345, "env_id": "LunarLander-v3"}
r,l,t
-27.40952,1000,107.444724
-44.975404,1000,108.077577
-39.616633,1000,108.729048
-5.950857,1000,109.375774
-38.822686,1000,110.014488
-25.638491,1000,110.660196
-46.678539,1000,111.324238
-56.582362,1000,112.01459
-65.268632,1000,112.660887
-36.716835,1000,113.320527
-20.447914,1000,113.990571
-80.15865,1000,114.628278
-41.142141,1000,115.276399
-24.494915,1000,115.934258
-16.807331,1000,116.583556
-79.715324,1000,117.220271
-33.214609,1000,117.885271
-50.319877,1000,118.557752
-77.28365,1000,119.196088
-70.789118,1000,119.83303
-44.468491,1000,120.540396
-53.108265,1000,121.242677
-20.60038,1000,121.875379
-55.76128,1000,122.516439
-40.697542,1000,123.148143
-76.169694,1000,123.812912
-22.770827,1000,124.447856
-29.541016,1000,125.076259
-48.500844,1000,125.692352
-45.881676,1000,126.329958
-46.884796,1000,126.987804
-29.42232,1000,127.612987
-39.282154,1000,128.241968
-57.723638,1000,128.88529
-18.550823,1000,129.521058
-60.366106,1000,130.151266
-44.915532,1000,130.804753
-24.220463,1000,131.449877
-50.661039,1000,132.073879
-4.919617,1000,132.711488
-88.185468,1000,133.368237
-93.481773,1000,134.029455
-38.181952,1000,134.696122
-47.472228,1000,135.322622
-66.272022,1000,135.964967
-33.20866,1000,136.604637
-22.387058,1000,137.241897
-55.882136,1000,137.872165
-28.674942,1000,138.503883
-55.766458,1000,139.13955
-24.032125,1000,139.822288
-68.11073,1000,140.452924
-73.152464,1000,141.089277
-59.109304,1000,141.732618
-51.05148,1000,142.409129
-69.05404,1000,143.124028
-66.72384,1000,143.850445
-62.733277,1000,144.495041
-42.710822,1000,145.125399
-6.03275,1000,145.756409
-59.133953,1000,146.396099
-52.269528,1000,147.026219
-63.104496,1000,147.659865
-26.517023,1000,148.309921
-40.251782,1000,148.950975
-38.029351,1000,149.599754
-81.812647,1000,150.294912
-35.811312,1000,150.968824
-22.486462,1000,151.622978
-43.865182,1000,152.273968
-60.573047,1000,152.925479
-43.172643,1000,153.599173
-34.717349,1000,154.257636
-29.520184,1000,154.895049
-21.901413,1000,155.578415
-70.415911,1000,156.233759
-44.903506,1000,156.89233
-50.216645,1000,157.552204
-24.338961,1000,158.207925
-37.575562,1000,158.856264
-31.027694,1000,159.54251
-74.496703,1000,160.261192
-28.421832,1000,160.949425
-82.237641,1000,161.581985
-44.983324,1000,162.211286
-53.85996,1000,162.869096
-42.739264,1000,163.525625
-7.938414,1000,164.18009
12.139697,1000,164.846419
-60.683586,1000,165.492505
-94.10216,1000,166.138284
-35.605796,1000,166.770905
-55.472793,1000,167.398027
-37.610058,1000,168.062835
30.978295,1000,168.71236
-66.482484,1000,169.351557
-64.019514,1000,169.980653
-52.803717,1000,170.614876
-60.001127,1000,171.298944
21.347163,1000,171.984379
-41.562935,1000,172.628547
12.516128,1000,173.304332
-66.04711,1000,173.99837
7.627192,1000,174.666717
-62.185501,1000,175.308781
-43.991177,1000,175.956577
-10.524331,1000,176.613582
-95.938537,1000,177.252705
-51.306518,1000,177.896659
-87.050016,1000,178.562182
-46.113826,1000,179.211837
-60.242359,1000,179.855618
-42.697663,1000,180.491092
-57.047742,1000,181.154015
-43.381289,1000,181.876357
-89.551413,1000,182.521071
85.717226,951,183.140818
-43.438998,1000,183.783105
-76.339414,1000,184.448588
-102.97392,1000,185.070491
-26.640957,1000,185.737839
-105.496123,723,186.20496
-48.855217,1000,186.877789
-226.135286,980,187.522299
-126.030657,1000,188.151438
-21.171863,1000,188.780312
-131.632473,531,189.116064
-117.597734,542,189.471941
160.947019,812,190.017812
-40.062893,613,190.416271
134.652193,826,190.959792
-137.024047,773,191.497314
-158.439626,627,191.901871
121.903463,689,192.354294
29.862095,1000,193.003155
-228.88876,948,193.620514
-152.478649,579,194.012853
-182.962219,826,194.589516
-101.572071,369,194.830282
151.719945,936,195.439365
-128.229555,498,195.759561
-35.768716,1000,196.399136
-190.988922,978,197.041091
164.79788,958,197.666361
-170.43547,403,197.91867
-72.325875,247,198.081346
-177.918322,594,198.4562
76.463049,1000,199.097986
-162.38249,401,199.345624
-99.951528,229,199.495694
89.451217,784,200.070252
