#{"t_start": 1768085098.483219, "env_id": "LunarLander-v3"}
r,l,t
205.947572,547,234.4103
238.987118,460,234.783102
250.818656,407,235.11119
269.95189,331,235.380066
210.001474,471,235.779848
206.347273,388,236.109671
234.307688,397,236.43766
232.950124,442,236.796046
215.215135,537,237.245565
227.827945,393,237.568394
244.3306,317,237.828393
221.402665,498,238.239161
250.13442,344,238.52027
277.300888,326,238.78586
264.497472,443,239.143924
282.999607,350,239.431405
223.61616,388,239.780787
194.859781,570,240.226952
246.825823,306,240.479605
-30.038423,287,240.713141
253.503803,380,241.030084
202.100877,666,241.604759
256.317855,317,241.901643
268.168723,650,242.509089
246.249727,372,242.818385
295.992969,342,243.093086
288.022471,313,243.350853
9.669959,263,243.559549
258.900673,541,244.01899
241.292892,388,244.338625
271.060612,364,244.661886
267.727919,362,244.954436
198.231333,573,245.426529
290.002015,427,245.774042
280.940699,330,246.037493
235.831266,371,246.337695
269.783774,455,246.751999
229.664825,468,247.155717
214.859378,409,247.491754
252.928654,469,247.875546
245.497061,501,248.272079
222.235767,465,248.691592
258.276669,409,249.034837
193.439452,573,249.505494
259.833235,450,249.860929
241.523375,612,250.351203
250.004404,501,250.75089
209.583149,388,251.080063
254.514258,374,251.382138
226.770244,547,251.833695
286.883056,311,252.081931
252.189004,342,252.355183
248.749963,355,252.668746
206.841895,480,253.058631
235.136186,664,253.615647
235.917576,500,254.025796
209.786302,444,254.378423
202.417387,381,254.709707
258.349341,324,254.972603
257.043073,374,255.268209
229.928423,324,255.555186
265.427742,413,255.905308
249.609175,334,256.169402
268.735185,321,256.433371
261.876368,348,256.752903
254.932809,275,256.984039
244.654557,322,257.257636
253.906833,410,257.602275
270.445633,408,257.948255
199.451518,407,258.276586
245.655846,318,258.544352
252.397559,361,258.847414
273.764598,329,259.134597
280.459699,380,259.452517
263.545558,313,259.711942
142.503695,1000,260.563353
241.837287,331,260.829134
257.673731,296,261.111694
244.079786,336,261.386353
257.36357,500,261.818596
288.470752,520,262.261437
257.895036,311,262.544657
231.079504,313,262.804648
233.783827,534,263.25636
265.716638,366,263.605921
212.798192,351,263.902108
249.155779,412,264.250394
307.28011,237,264.44241
219.952172,302,264.693894
287.272495,318,264.988205
210.476415,319,265.256218
280.552299,299,265.504733
253.394733,297,265.762279
221.454224,351,266.057098
266.233141,514,266.491578
262.300131,302,266.741553
250.889672,345,267.035489
195.594916,348,267.335424
267.049866,424,267.683504
237.678842,409,268.017544
247.919612,321,268.288283
244.641436,365,268.594827
202.744992,418,268.93343
217.721835,382,269.238333
33.37844,254,269.483023
272.376174,356,269.770506
260.421413,322,270.028666
244.230385,340,270.295118
230.34679,353,270.586737
259.975126,300,270.834548
225.638114,279,271.070302
250.10115,422,271.422483
18.16681,235,271.612448
267.734898,477,272.035132
244.750138,459,272.420293
117.125059,1000,273.238455
241.971852,290,273.467912
243.258092,301,273.716084
286.907831,318,273.970079
239.557249,294,274.206425
238.607242,321,274.464301
241.535688,348,274.748171
272.369828,268,274.977623
268.919471,315,275.233768
239.18111,317,275.491776
45.928862,240,275.687403
246.774536,356,275.974933
286.14161,303,276.213519
230.19359,298,276.45127
43.647217,219,276.633407
300.513995,334,276.910575
289.493774,259,277.119918
255.363513,273,277.349174
266.203537,287,277.595793
278.368339,472,277.983055
89.565043,202,278.146134
283.897442,349,278.436254
271.118876,361,278.736857
269.213102,299,278.982688
291.635507,396,279.304426
